year,los_angeles,10 year MA_Los_Angeles,glob_avr_temp,10 year MA_Global 
1849,15.71,,7.98,
1850,15.28,,7.9,
1851,15.53,,8.18,
1852,15.61,,8.1,
1853,16.27,,8.04,
1854,15.74,,8.21,
1855,15.94,,8.11,
1856,15.52,,8,
1857,16.19,,7.76,
1858,15.67,15.746,8.1,8.038
1859,15.29,15.704,8.25,8.065
1860,15.41,15.717,7.96,8.071
1861,16.51,15.815,7.85,8.038
1862,16.05,15.859,7.56,7.984
1863,15.88,15.82,8.11,7.991
1864,16.62,15.908,7.98,7.968
1865,15.89,15.903,8.18,7.975
1866,16.33,15.984,8.29,8.004
1867,16.51,16.016,8.44,8.072
1868,16.09,16.058,8.25,8.087
1869,16.05,16.134,8.43,8.105
1870,15.64,16.157,8.2,8.129
1871,15.89,16.095,8.12,8.156
1872,15.66,16.056,8.19,8.219
1873,15.7,16.038,8.35,8.243
1874,15.33,15.909,8.43,8.288
1875,16.19,15.939,7.86,8.256
1876,15.7,15.876,8.08,8.235
1877,16.24,15.849,8.54,8.245
1878,15.44,15.784,8.83,8.303
1879,15.55,15.734,8.17,8.277
1880,14.36,15.606,8.12,8.269
1881,15.65,15.582,8.27,8.284
1882,14.85,15.501,8.13,8.278
1883,15.52,15.483,7.98,8.241
1884,15.28,15.478,7.77,8.175
1885,16.44,15.503,7.92,8.181
1886,15.74,15.507,7.95,8.168
1887,15.62,15.445,7.91,8.105
1888,15.91,15.492,8.09,8.031
1889,16.22,15.559,8.32,8.046
1890,15.8,15.703,7.97,8.031
1891,15.63,15.701,8.02,8.006
1892,15.33,15.749,8.07,8
1893,14.95,15.692,8.06,8.008
1894,14.83,15.647,8.16,8.047
1895,15.36,15.539,8.15,8.07
1896,16.1,15.575,8.21,8.096
1897,15.32,15.545,8.29,8.134
1898,15.65,15.519,8.18,8.143
1899,15.59,15.456,8.4,8.151
1900,16.08,15.484,8.5,8.204
1901,15.72,15.493,8.54,8.256
1902,15.08,15.468,8.3,8.279
1903,15.49,15.522,8.22,8.295
1904,16.24,15.663,8.09,8.288
1905,15.52,15.679,8.23,8.296
1906,15.74,15.643,8.38,8.313
1907,15.46,15.657,7.95,8.279
1908,15.17,15.609,8.19,8.28
1909,15.01,15.551,8.18,8.258
1910,15.94,15.537,8.22,8.23
1911,14.82,15.447,8.18,8.194
1912,14.84,15.423,8.17,8.181
1913,15.2,15.394,8.3,8.189
1914,15.65,15.335,8.59,8.239
1915,15.43,15.326,8.59,8.275
1916,14.6,15.212,8.23,8.26
1917,15.59,15.225,8.02,8.267
1918,15.65,15.273,8.13,8.261
1919,15.34,15.306,8.38,8.281
1920,15.06,15.218,8.36,8.295
1921,15.76,15.312,8.57,8.334
1922,15.31,15.359,8.41,8.358
1923,15.39,15.378,8.42,8.37
1924,15.69,15.382,8.51,8.362
1925,15.72,15.411,8.53,8.356
1926,16.6,15.611,8.73,8.406
1927,15.41,15.593,8.52,8.456
1928,15.98,15.626,8.63,8.506
1929,16.1,15.702,8.24,8.492
1930,15.99,15.795,8.63,8.519
1931,16.6,15.879,8.72,8.534
1932,15.4,15.888,8.71,8.564
1933,15.4,15.889,8.34,8.556
1934,17.03,16.023,8.63,8.568
1935,15.5,16.001,8.52,8.567
1936,16.6,16.001,8.55,8.549
1937,15.68,16.028,8.7,8.567
1938,15.89,16.019,8.86,8.59
1939,16.3,16.039,8.76,8.642
1940,16.53,16.093,8.76,8.655
1941,15.62,15.995,8.77,8.66
1942,15.77,16.032,8.73,8.662
1943,16.12,16.104,8.76,8.704
1944,15.03,15.904,8.85,8.726
1945,15.7,15.924,8.58,8.732
1946,15.65,15.829,8.68,8.745
1947,15.98,15.859,8.8,8.755
1948,15.09,15.779,8.75,8.744
1949,15.36,15.685,8.59,8.727
1950,16.2,15.652,8.37,8.688
1951,15.76,15.666,8.63,8.674
1952,15.33,15.622,8.64,8.665
1953,15.68,15.578,8.87,8.676
1954,16.05,15.68,8.56,8.647
1955,15.34,15.644,8.63,8.652
1956,15.7,15.649,8.28,8.612
1957,15.8,15.631,8.73,8.605
1958,16.7,15.792,8.77,8.607
1959,17.05,15.961,8.73,8.621
1960,16.31,15.972,8.58,8.642
1961,16.21,16.017,8.8,8.659
1962,15.62,16.046,8.75,8.67
1963,15.73,16.051,8.86,8.669
1964,15.28,15.974,8.41,8.654
1965,15.34,15.974,8.53,8.644
1966,15.99,16.003,8.6,8.676
1967,15.92,16.015,8.7,8.673
1968,15.89,15.934,8.52,8.648
1969,15.79,15.808,8.6,8.635
1970,16,15.777,8.7,8.647
1971,15.26,15.682,8.6,8.627
1972,15.96,15.716,8.5,8.602
1973,15.51,15.694,8.95,8.611
1974,15.85,15.751,8.47,8.617
1975,15.12,15.729,8.74,8.638
1976,16.18,15.748,8.35,8.613
1977,16.26,15.782,8.85,8.628
1978,16.01,15.794,8.69,8.645
1979,15.88,15.803,8.73,8.658
1980,16.23,15.826,8.98,8.686
1981,16.89,15.989,9.17,8.743
1982,15.44,15.937,8.64,8.757
1983,16.2,16.006,9.03,8.765
1984,16.76,16.097,8.69,8.787
1985,15.96,16.181,8.66,8.779
1986,16.5,16.213,8.83,8.827
1987,16.09,16.196,8.99,8.841
1988,16.44,16.239,9.2,8.892
1989,16.36,16.287,8.92,8.911
1990,16.37,16.301,9.23,8.936
1991,16,16.212,9.18,8.937
1992,16.79,16.347,8.84,8.957
1993,16.36,16.363,8.87,8.941
1994,16.29,16.316,9.04,8.976
1995,16.64,16.384,9.35,9.045
1996,17.08,16.442,9.04,9.066
1997,16.93,16.526,9.2,9.087
1998,15.37,16.419,9.52,9.119
1999,16.12,16.395,9.29,9.156
2000,16.64,16.422,9.2,9.153